,Index,Tamil,English
779,779,'இதுதான் புதிய ஸ்வஸ்திகா..' ரஷ்யாவின் அடையாளமாக மாறும் Z லெட்டர்.. என்ன செய்ய திட்டமிடுகிறார் புதின்,'This is the new swastika..' The Z letter that will become the symbol of Russia.. What is Putin planning to do?
780,780,மகன் பிறக்காத கோபம்.. பிறந்து 7 நாளேயான மகளை துப்பாக்கியால் சுட்டு கொன்ற கொடூர தந்தை!, The anger of not having a son.. The brutal father who shot his 7-day-old daughter with a gun!
781,781,"ரஷ்ய போருக்கு இடையில் திடீர் ட்விஸ்ட்.. இந்தியாவிற்கு வெள்ளை ""டிராகனை"" தூது அனுப்பிய சீனா.. கவனம்! "," A sudden twist between the Russian war.. China sent a white ""dragon"" to India.. Attention!"
782,782,"வான்வழி தடை கோரிக்கை மூலம் 3-ம் உலகப் போரை தூண்டிவிடும் உக்ரைன் அதிபர்? உஷாராகும் யு.எஸ்., ஐரோப்பா ","Ukraine President Will Trigger World War 3 By Demanding Air Ban? U.S., Europe on alert"
783,783,சாலையில் சென்ற கார்.. குறி பார்த்து வந்த குண்டு.. உடல் சிதறிய தம்பதி! ரஷ்ய தாக்குதலின் கோர காட்சி , The car that went on the road.. The bomb that hit the mark.. The body of the couple was scattered! A grotesque scene of the Russian attack
784,784," ""மேற்குலக நாடுகளே முக்கிய காரணம்.."" பாயும் உக்ரைன் அதிபர் ஜெலன்ஸ்கி! என்ன காரணம் தெரியுமா.. பின்னணி"," ""The West is the main reason.."" Zelensky, the president of Ukraine, is flowing! Do you know what the reason is.. the background"
785,785,உக்ரைன் மீது போர் தொடங்கி 2 வாரமாச்சு.. வல்லரசு ரஷ்யாவால் வெற்றி பெற முடியவில்லையே ஏன்? 5 காரணங்கள்,It's been 2 weeks since the start of the war on Ukraine.. Why can't superpower Russia win? 5 reasons
786,786,உக்ரைன் - ரஷ்யா வெளியுறவு அமைச்சர்கள் இடையே 10ம் தேதி அமைதிப் பேச்சுவார்த்தை - போர் முடிவுக்கு வருமா, Ukraine-Russia Foreign Ministers' Peace Talks on 10th - Will the War End?
787,787,மக்கள் வெளியேறுவதை தடுக்கும் ரஷ்ய படைகள்... சமாதானத்திற்கு தயார் என ஜெலன்ஸ்கி அறிவிப்பு , Zelensky announces that Russian forces are preventing people from leaving... ready for peace
788,788," ""மொத்தம் 4 கண்டிசன்..அதுக்கு ஓகேனா அடுத்த நொடி போர் நின்றுவிடும்.."" ரஷ்யா திட்டவட்டம்! அடுத்து என்ன","""A total of 4 conditions..for that, the war will stop in the next second."" Russia is determined! What's next?"
789,789,"சீறி வந்த 500 கிலோ ராட்சச ""ரஷ்ய"" குண்டு! வீட்டின் மீது பொத்தென விழுந்து! அடுத்த நொடி நடந்த ட்விஸ்ட்! "," 500 kg giant ""Russian"" bomb that came in rage! Falling down on the house! The next twist!"
790,790, கொஞ்சம் கூட கேப் விடாத அமெரிக்கா! ரஷ்யாவிற்கு உதவ போய்.. இப்போ சீனாவை நெருங்கும் ஆபத்து.. திருப்பம்! , America that does not leave a little cap! Go to help Russia.. Now the danger of getting close to China.. Turn!
791,791,ஒரு முடிவுக்கு வாங்க.. உக்ரைனில் கதிகலங்கும் மக்கள்.. 3வது போர் நிறுத்தத்தை அறிவித்த ரஷ்யா..! ,To get a decision.. The people are worried in Ukraine.. Russia announced the 3rd ceasefire..!
792,792,"""தனி லிஸ்ட் ரெடி!"" ரஷ்யாவுக்கு எதிராக நடவடிக்கை எடுத்த 17 நாடுகள்.. குறி வைக்கும் புதின்? பரபர தகவல்"," ""Separate List Ready!"" 17 countries that have taken action against Russia..Putin to mark? Miscellaneous information"
793,793,ரஷ்யாவிற்கு விழுந்த அடி.. மத்திய ராணுவ மாவட்ட தளபதி காலி! அதிரடியாக அறிவித்த உக்ரைன்.. என்ன நடந்தது?, A blow fell to Russia.. The Central Military District Commander is vacant! Ukraine announced action.. What happened?
794,794,"""பேரு தூக்குதுரை.. ஊரு கொடுவிலார்பட்டி.."" ஒளியவில்லை, இதுதான் என் அட்ரஸ்: அறிவித்தார் உக்ரைன் அதிபர்","""Beru Ghudurai.. Uru Koduvilarpatti.."" No light, this is my address: announced the President of Ukraine"
795,795,உ.பி.யில் ஒர்க் அவுட் ஆகவில்லை பிரியங்கா வாய்ஸ்? சிங்கிள் டிஜிட்டுக்கே இந்த முறையும் போராடும் காங்.?, Did Priyanka Voice not work out in UP? Congress will fight for single digits this time?
796,796,'முடிந்தவரை போராடினோம்.. உபி தேர்தல் கருத்துக்கணிப்புக்கு பிறகு மனம் திறந்த பிரியங்கா காந்தி , 'We fought as much as possible.. Priyanka Gandhi opened up after the UP polls
797,797,உ.பி:பைனாகுலரில் வாக்குப் பதிவு இயந்திரங்கள் அறையை 3 ஷிப்ட் போட்டு அகிலேஷ் வேட்பாளர்கள் கண்காணிப்பு ,UP: Akhilesh put 3 shifts in the voting machine room in binoculars to monitor the candidates
798,798,கனவில் கடவுள் வந்து சொன்னார்! உ.பியில் யோகிதான் மீண்டும் முதல்வர்! பாஜக எம்பி ஹர்நாத் சிங் ஆருடம் , God came and said in a dream! Yogi is the Chief Minister again in UP! BJP MP Harnath Singh Arudam
799,799,உ.பி. அரியணையை தீர்மானித்த ஜாதி அரசியல் இனி இருக்காது.. அடித்து சொல்லும் அரசியல் விமர்சகர்கள் , UP The caste politics that decided the throne will no longer exist
800,800,வாக்குப்பதிவு இயந்திரங்கள் முன்னறிவிப்பின்றி திடீரென்று எடுத்து செல்லப்படுகிறது: அகிலேஷ் யாதவ் பகீர்,Voting machines taken away suddenly without warning: Akhilesh Yadav Bagir
801,801,கருத்துக் கணிப்புகள் பற்றி கவலையில்லை... உ.பியில் நாங்கள் தான் ஆட்சியமைப்போம்- அகிலேஷ் நம்பிக்கை , Don't worry about polls... We will rule in UP- Akhilesh believes
802,802,உ.பி.யில் பாஜகவுக்கு கடும் பின்னடைவா? 2017 தேர்தலை ஒப்பிடுகையில் சுமார் 100 தொகுதிகளை பறிகொடுக்கும்?, Will the BJP suffer a setback in UP? It will lose about 100 seats compared to 2017 elections?
803,803,தமிழகத்தையே உலுக்கிய கோகுல் ராஜ் கொலை வழக்கு கடந்து வந்த பாதை! , The path of the Gokul Raj murder case that shook Tamil Nadu!
804,804,கோகுல்ராஜ் வழக்கு.. யுவராஜுக்கு சாகும்வரை சிறை! தீர்ப்பு வந்ததும் கோர்ட்டுக்கு வெளியே என்ன நடந்தது? ,Gokulraj case.. Yuvraj in jail till death! What happened outside the court after the verdict?
805,805,யுவராஜ் சிக்க காரணமான திருச்செங்கோடு மலை சிசிடிவி- கோகுல்ராஜ் கொலை வழக்கில் சாகும் வரை ஆயுள் சிறை!," Tiruchengode Hill CCTV, the reason for Yuvraj's entanglement - Life imprisonment till death in Gokulraj's murder case!"
806,806,யுவராஜ் கருணை மனு கூட போட முடியாது! கண்ணகியின் மதுரையில் கோகுல்ராஜுக்கு நீதி! அரசு வழக்கறிஞர் மோகன் , Yuvraj can't even file a mercy petition! Justice for Gokulraj in Kannagi's Madurai! Public Prosecutor Mohan
807,807,தமிழ்நாட்டில் பெண்களுக்கு மட்டுமல்ல; ஆண்களுக்கும் பாதுகாப்பு இல்லை - காயத்ரி ரகுராம் ,Not only for women in Tamil Nadu; Men are not safe either - Gayatri Raghuram
808,808,கோகுல்ராஜ் ஆணவக்கொலை வழக்கு: யுவராஜ் & கார் டிரைவருக்கு 3 ஆயுள் தண்டனை - சாகும் வரை சிறை, Gokulraj manslaughter case: Yuvraj & car driver get 3 life sentences - life imprisonment
809,809,சசிகலாவை கட்சியில் சேர்ப்பீர்களா?.. சிரித்துக் கொண்டே ஓபிஎஸ் தந்த பதிலை பாருங்க!, Will you include Sasikala in the party?.. Look at the smiling response of OPS!
810,810,கோகுல்ராஜ் கொலை வழக்கில் தீர்ப்பு.. குற்றவாளிகளுக்கு மரண தண்டனை தேவை - அரசு வழக்கறிஞர் ப.பா மோகன் , Verdict in Gokulraj's murder case..Death penalty is required for the culprits - Public Prosecutor PA Mohan
811,811,அஜித் படம் வாலி.. ஹேப்பி வுமன்ஸ் டே தோழினு வருவாங்க.. பாத்து சூதானமா இருங்க தோழி!,Ajith's film Wally.. Happy Women's Day friend.
812,812,"கொரோனாவுக்கு உலக அளவில் 60,25,259 பேர் பலி - 38 கோடி பேர் மீண்டனர் "," Globally, 60,25,259 people have died due to Corona - 38 crore people have recovered"
813,813,"""நானும் உங்களை போல ஐஏஎஸ் தான்.."" நாகை கலெக்டரை தெறிக்கவிட்ட நாளைய கலெக்டர்! சிறுவனின் கலக்கல் வீடியோ"," ""I am an IAS like you.."" Collector of tomorrow who has splashed Nagai collector! Video of the boy's mixing"
814,814,10 மில்லியன் அமெரிக்க டாலர்.. உக்ரைனுக்கு உதவிய ஹாலிவுட் நடிகர் லியானர்டோ டிகாப்ரியோ! , Hollywood actor Leonardo DiCaprio who helped Ukraine with 10 million US dollars!
815,815,ரெட் லைனை தாண்டிய அமெரிக்கா? ரெடியாக நிற்கும் ரஷ்யா! இது 3ம் உலகப்போருக்கு வித்திடும்! என்ன நடந்தது? ,America crossed the red line? Russia is ready! This is the seed for the 3rd world war! What happened?
816,816,செம ஆஃபர்! மாதம் ரூ.4999 செலுத்தினால் போதும்! சென்னையில் சொந்த வீடு வாங்கலாம்.. கலக்கும் TVS Emerald, Great offer! Just pay Rs.4999 per month! You can buy your own house in Chennai.. TVS Emerald that blends
817,817,15வது ஜெய்ப்பூர் இலக்கிய விழா: 5வது நாளில் கலக்க இருக்கும் உஷா உதுப்.. இன்னும் பல பிரபலங்கள்! , 15th Jaipur Literary Festival: Usha Udup to rock on Day 5.. More Celebs!
818,818,"Alien ஆஸ்திரேலியாவில் ஏலியனா?.. ஒற்றைக் கண், நீண்ட கையுடன் வித்தியாசமான உயிரினம்.. என்னவா இருக்கும்? ","Alien Is an alien in Australia?.. A strange creature with one eye, long arm.. What will it be?"
819,819, சினேகாவுக்கு வந்த திடீர் காதல்.. இளைஞருடன் ஒரே ஓட்டம்.. கடைசியில் வயல்வெளியில் அலறிய மாமனார்..!, Sudden love came to Sneha.. One run with the young man.. Finally the father-in-law screamed in the field..!
820,820,"""வௌவாலா பிறப்பீங்க"".. ஆளுங்கட்சிக்கு மறுபடியும் சாபம் விட்ட ஆதீனம்.. அதிர்ந்த தஞ்சாவூர்"," ""Birth of bats"".. Thanjavur shook Thanjavur, who again cursed the ruling party."
821,821,கண்ணீருடன் தமிழகம் வந்த உக்ரைன் மாணவர்கள்.. கனிவுடன் சந்தித்து பேசிய முதல்வர்.. நெகிழ்ச்சி வீடியோ..!,Ukrainian students who came to Tamil Nadu with tears.
822,822,முதல்வர் ஸ்டாலின் வாகனம் மீது டீ கிளாஸை எறிந்து.. பஸ்ஸில் எகிறிய மாஸ்டர்.. காரணம் என்னன்னு பாருங்க, The master threw a glass of tea on CM Stalin's vehicle and jumped on the bus.. See the reason
823,823,தலைவர் நாற்காலியில் அமர்ந்து கூட்டம் நடத்திய திமுக சேர்மன்! ஸ்ரீபெரும்புதூரில் போராடும் காங்கிரஸ்! , DMK chairman who held the meeting sitting on the chairman's chair! Congress fighting in Sriperumbudur!
824,824,தெள்ளார் அருகே பெருங்கற்காலத்தை சேர்ந்த இரும்பு உருக்காலை எச்சம் கண்டுபிடிப்பு ,Remnants of Iron Smelter discovered near Tellar
825,825," ""போன்ல யாரு"".. கணவனிடம் அடிக்கடி சிக்கிய புதுமணப்பெண்.. கடைசியில் பகீர் முடிவு.. என்னாச்சு?"," ""Ponla Yaru"".. Newlywed who is often trapped by her husband.. In the end Bhakeer's decision.. What happened?"
826,826,Age is just a number.. எனக்கு 24 உனக்கு 77.. 53 வயசு வித்தியாசம்.. இப்படியும் ஒரு தம்பதி!, Age is just a number.. I am 24 and you are 77.. 53 age difference.. Such a couple!
827,827, உலகிலேயே முதன்முறையாக மான்களில் ஒமிக்ரான்.. எப்படி பரவியது?.. அதிர்ச்சியில் உறைந்த அமெரிக்கா..!," For the first time in the world, Omicron in deer.. How did it spread?.. America frozen in shock..!"
828,828, அடேங்கப்பா.. என்னா அடி! 5 வயது சிறுவன் அடித்ததில் அப்படியே மயங்கிய ஆசிரியர்? நடந்தது என்ன,Atengappa.. Enna hit! 5-year-old boy was beaten by a teacher who was stunned? what happened
829,829,உக்ரைன் போரால் ரஷ்யாவுக்கு மேலும் சிக்கல்.. எண்ணெய் இறக்குமதிக்கு அமெரிக்கா தடை.. ஜோ பைடன் அதிரடி..!, More trouble for Russia due to the war in Ukraine.. America ban on oil import.. Joe Biden action..!
830,830,திருச்செந்தூர் கோவிலில் ரூ.250 சாமி தரிசன கட்டணம் ரத்து.. இன்று முதல் அமல்.. பக்தர்கள் ஹேப்பி , Rs. 250 Sami darshan fee canceled in Tiruchendur temple.. Effective from today.. Devotees are happy
831,831,ராகு கேது பெயர்ச்சி பலன் 2022: பங்குனியில் எந்தெந்த ராசிக்காரர்கள் ஜாக்கிரதையாக இருக்க வேண்டும் , Rahu Ketu transit result 2022: Which zodiac signs to watch out for in Panguni
832,832,ராகு கேது பெயர்ச்சி பலன் 2022: இந்த 6 ராசிக்காரர்களில் ராகு கேதுவால் யாருக்கு யோகம் வரும் ,Rahu Ketu transit result 2022: Which of these 6 zodiac signs will get yoga due to Rahu Ketu?
833,833,"""நான் முதல்வரானால்.."" ரிசல்ட் வெளியாகும் முன்பே ஆம் ஆத்மி முதல்வர் வேட்பாளர் கொடுத்த ""வாக்குறுதி"" "," ""If I am the chief minister.."" the ""promise"" given by the Aam Aadmi Party chief ministerial candidate before the results were announced."
834,834,மேகதாது அணைக்காக ஒரு செங்கலைக் கூட எடுத்துவைக்க கர்நாடகாவிற்கு அனுமதி கிடையாது - துரைமுருகன் , Karnataka not allowed to take even one brick for Meghadatu Dam - Duraimurugan
835,835,பெட்ரோல் டீசல் விலை: வெற்றிகரமான 125வது நாளாக மாற்றமில்லை - லிட் ரூ 15 வரை உயர வாய்ப்பு , Petrol Diesel Prices: Unchanged after successful 125th day - likely to rise by Rs 15 a lit
836,836,"10,11, 12 ஆம் வகுப்பு தனித்தேர்வர்களுக்கு மீண்டும் வாய்ப்பு..அரசுத் தேர்வுத்துறை இயக்ககம் அறிவிப்பு ","10th, 11th and 12th class individual candidates have another chance..Directorate of State Examinations Notification"
837,837,மில்லி மீட்டராய் வளர்ந்த உலகம் மீட்டர் மீட்டராய்ச் சரியும்- போரை நிறுத்துங்கள் புதின்: வைரமுத்து , The world developed by millimeter will collapse by meter - stop the war Putin: Vairamuthu
838,838, சூர்யாவை மீண்டும் சீண்டும் பாமக.. விடாமல் விரட்டும் வன்னியர் சங்கம்.. நடிகருக்கு தமுஎச ஆதரவு குரல், Vanniyar Sangam who pisses off Suriya again.
839,839,மு.க.அழகிரியை கண்டதும் ஓடி வந்து பேசிய அமைச்சர்கள்! உற்சாகமடைந்த குடும்பத்தினர்! மாறாத பழைய பாசம்! ,"When they saw M.K.Azhagiri, the ministers ran and spoke! Excited family! An old love that never changes!"
840,840,"""கோர்த்து விடாதீங்க"".. மாஜி வளர்மதி என்ன இப்படி சொல்கிறாரே.. அப்ப சசிகலா விவகாரம் கன்பார்ம்டு?"," ""Don't leave it"".. What is ex-Varamathi saying like this.. Then the Sasikala issue is confirmed?"
841,841,ஜெ.மனநிலையில் வலம் வரும் சசிகலா... சரிசமமாக அமர்ந்த ஓபிஎஸ் தம்பி - திருச்செந்தூரில் நடந்தது என்ன ," J. Sasikala crawling in a state of mind... what happened in Tiruchendur, OPS sister sitting perfectly"
842,842,தமிழச்சி தங்கபாண்டியனின் கணவர் அன்று என்னை கைது செய்தார்! ஃபிளாஷ்பேக் கூறிய முதல்வர் ஸ்டாலின்! ,Tamilachi Thangapandian's husband arrested me that day! Flashback said Chief Stalin!
843,843,விளைவுகள் மோசமா இருக்கும்.. ஜெ பாணியில் சுழற்றிய ஸ்டாலின்! அவரை மாதிரி இல்லையே.. அஞ்சிய நிர்வாகிகள் , Consequences will be bad.. J style spin Stalin! Not like him.. Fearful administrators
844,844,கோபாலபுரத்தில் பிறந்துவிட்டால் ஸ்டாலின் பிரதமராகிவிட முடியுமா?.. பாஜக அண்ணாமலை சரமாரி , Can Stalin become Prime Minister if he was born in Gopalapuram?.. BJP Annamalai barrage
845,845,"""அண்ணன் ஸ்டாலின்"".. கனிமொழி வழங்கிய அந்த பரிசு.. பூரித்த முதல்வர்.. அறிவாலயம் முழுக்க இதே பேச்சாமே","""Brother Stalin"".. Kanimozhi's gift."
846,846,வண்டலூர் பூங்காவில் உணவின்றி தவித்த வாயில்லா ஜீவன்கள்.. ரூ.6 கோடியை அள்ளித் தந்த தமிழக அரசு! , Homeless animals who were suffering without food in Vandalur Park.. Tamil Nadu government has given Rs. 6 crores!
847,847,ஆடுதுறை பேரூராட்சி தலைவர் தேர்தலை நிறுத்தியது ஏன்? தேர்தல் ஆணையத்திடம் விளக்கம் கேட்ட ஹைகோர்ட், Why did the election of Aduthurai municipality president stop? The High Court sought an explanation from the Election Commission
848,848," ""ஹலோ, நான் சசிகலா பேசறேன்"".. எடப்பாடியை நோக்கி பாயும் அடுத்த அஸ்திரம்.. கதிகலங்கும் கொங்கு ","""Hello, I am Sasikala""."
849,849,2 முறை குண்டாஸ்... பாஜக கல்யாணராமன் சட்டத்துக்கு அப்பாற்பட்டவரா? சென்னை உயர்நீதிமன்றம் கடும் கண்டனம், 2 times kundas... is BJP's Kalyanaraman above the law? Madras High Court strongly condemned
850,850, இந்தி மொழியை அடிப்படையாகக் கொண்டே நீட் கேள்வித்தாள்... அமைச்சர் பொன்முடி குற்றச்சாட்டு , NEET question based on Hindi language... Minister Ponmudi accused
851,851,1991 இல் ராஜீவ் படுகொலை முதல் பேரறிவாளனுக்கு ஜாமீன் வரை.. நடந்தது என்ன? 32 ஆண்டு கால பின்னணி! , From Rajiv's assassination in 1991 to Perariwalan's bail...what happened? 32 years of background!
852,852,"ஸ்டாலினுக்கு பெருகும் ""தலைவலி"".. அன்று திருமாவளவன்.. இப்ப வேல்முருகன்.. ""அவங்க"" தான் காரணமாம்..!","Stalin's increasing ""headache""."
853,853, பேரறிவாளன் ஜாமீன் விடுதலை தொடர்பான உச்சநீதிமன்றத்தின் உத்தரவில் சொல்லி இருப்பது என்ன?, What is said in the Supreme Court's order regarding Perariwalan's bail release?
854,854,பேரறிவாளன் ஜாமீன்: இப்பவாவது மத்திய அரசின் நிலைப்பாடு மாறணும்.. 6 பேருக்கும் பிணை தேவை: வன்னி அரசு, Perariwalan bail: Central government's stand should change now.. All 6 need bail: Vanni government
855,855, சபாஷ்.. பேரறிவாளன் விடுதலைக்கு தடையில்லை என்பதை உச்சநீதிமன்றம் உணர்த்தியுள்ளது: கு.ராமகிருஷ்ணன்,Well done.. The Supreme Court has made it clear that there is no obstacle to Perariwalan's release: K. Ramakrishnan
856,856,இதற்குதானே செங்கொடி தீயில் வெந்து மடிந்தாய்? இதோ பேரறிவாளன் அடைபட்ட சிறை கதவுகள் திறக்கின்றன! ," Why did you die in the red flag fire? Behold, the doors of Perariwalan's closed prison open!"
857,857, தமிழக காவல்துறைக்கு பறந்த உத்தரவு.. டிஜிபி சைலேந்திர பாபுவின் முக்கிய அட்வைஸ்.. பூரித்த போலீஸ்!, Flying orders to the Tamil Nadu police.. Important advice of DGP Sailendra Babu.
858,858, ஜாமின் கிடைத்தது மகிழ்ச்சி.. பேரறிவாளன் விரைவில் விடுதலையாகட்டும் - அன்புமணி ராமதாஸ் ,Happy to get bail.. May Perariwalan be released soon - Anbumani Ramadoss
859,859,மதிமுக முகமாகிறாரா துரை வைகோ? துணை பொதுச் செயலாளர் பதவி வழங்க திட்டம்.? தயாராகும் மாவட்ட செயலாளர்கள், Is MDMK the face of Durai Vaiko? The plan to grant the post of Deputy General Secretary.? Prepared District Secretaries
860,860,147ஆக சரிந்த கொரோனா பாதிப்பு..பலி எண்ணிக்கையும் கட்டுக்குள் வந்தது..தமிழக அரசின் முழு அறிக்கை இதோ..!, Corona cases fell to 147..The number of victims also came under control..Here is the full report of the Tamil Government..!
861,861,மின்கம்பம் சேதம்.. ட்விட்டரில் கூறிய“பொண்டாட்டி கொடுமை”.. செந்தில் பாலாஜி கொடுத்த அல்டிமேட் கமெண்ட்!,Power pole damage.. “Bondati cruelty” on Twitter.. Senthil Balaji gave the ultimate comment!
862,862,பேரறிவாளனுக்கு ஜாமின்.. துணை நின்ற முதல்வருக்கு நன்றி சொன்ன அற்புதம்மாள்! , Bail for Perariwalan.
863,863,முதல்வர் அலுவலகத்தில் வேலைவாய்ப்பு..அரசு வெளியிட்ட அசத்தல் அறிவிப்பு..ஊதியத்துடன் பயிற்சியும் உண்டு!, Employment in Chief Minister's Office..Strange notification issued by the government..Salary and training are available!
864,864,இந்தியா முழுவதும் சீர்திருத்தத் திருமணங்கள்! திமுக எம்.பி.க்களுக்கு ஸ்டாலின் முக்கிய அட்வைஸ்!,Reform marriages across India! Stalin's main advice to DMK MPs!
865,865,தலை துண்டிக்கப்படும்.. அமைச்சர் எம்ஆர்கே பன்னீர் செல்வத்திற்கு கொலை மிரட்டல் விடுத்த நிர்வாகி கைது , The head will be cut off.. The administrator who threatened to kill Minister MRK Panneer Selvam was arrested
866,866,கொரோனாவுக்கு எண்ட் கார்ட் தான்.. 4வது அலைக்கு வாய்ப்பே இல்லை.. அடித்துச் சொல்லும் மருத்துவ நிபுணர்.!, Corona is the end card.. there is no chance for the 4th wave.. the medical expert says.!
867,867,"""நம்பர் கேம்"".. தொங்கு சட்டசபையா.. ரிசார்ட்டுக்கு கடத்தலா.. கோவாவை பிடிக்க கோதாவில் இறங்கிய கட்சிகள்","""Numbers Game""..Hung Assembly..Shijacking to Resort..Parties Landed in Goa to Capture Goa"
868,868,யுபிஐ-123 பே..பட்டன் போன்களில் பணப்பரிமாற்றம் - இன்டர்நெட் வசதி தேவையில்லை , UPI-123 Pay..button payments on phones - no internet connection required
869,869,மாநிலங்களவையில் கிடைத்த ஒரு நிமிடத்தை பக்காவாக பயன்படுத்திய திருச்சி சிவா! பாராட்டிய வெங்கய்ய நாயுடு , Trichy Siva who used a minute in the Rajya Sabha! Venkayya Naidu praised
870,870,அரியாசனம் யாருக்கு? நாளை உ.பி. உள்ளிட்ட 5 மாநிலங்களின் சட்டசபை தேர்தல் வாக்கு எண்ணிக்கை , Aryasana for whom? Tomorrow UP Assembly election vote count of 5 states included
871,871,என்னாச்சு.. இந்தியாவில் மீண்டும் மெல்ல உயர்ந்த கொரோனா பாதிப்பு.. பாசிட்டிவ் ரேட் 0.51% ,What's up.. Corona cases are slowly rising again in India.. Positive rate is 0.51%
872,872,டெல்லியில் அரவிந்த் கெஜ்ரிவாலை சந்தித்தார் பகவந்த் மான் - காலில் விழுந்து வணங்கினார் , Bhagwant Maan met Arvind Kejriwal in Delhi - prostrated himself
873,873,ராஜீவ் கொலை வழக்கு: 32 ஆண்டுகள் சிறைவாசம் அனுபவித்த பேரறிவாளனுக்கு ஜாமீன் வழங்கியது உச்சநீதிமன்றம்! ," Rajeev murder case: Supreme Court granted bail to Perariwalan, who served 32 years in prison!"
874,874,"கூவத்தூர் பார்முலாவைக் கையிலெடுக்கும் கோவா, உத்தரகாண்ட் - MLA -க்களைப் பாதுகாக்க போராடும் கட்சிகள் "," Goa, Uttarakhand - Parties fighting to protect MLAs who grab Couvadoor formula"
875,875,கைதிகளின் தண்டனை குறைப்பு அதிகாரம் மாநில அரசுக்கு உண்டு: பேரறிவாளன் வழக்கில் உச்சநீதிமன்றம் ,State Govt has power to commute sentence of prisoners: Supreme Court in Perariwalan case
876,876,பேரறிவாளனை தொடர்ந்து.. மற்ற 6 பேருக்கும் ஜாமீன் கிடைக்க வாய்ப்பு.. வழக்கறிஞர் சொன்னது என்ன? , Following Perariwalan.. there is a chance for 6 others to get bail.. What did the lawyer say?
877,877," ஜல்லிக்கட்டுக்கு எதிர்ப்பு.. முட்டை, பாலுக்கு கொதிப்பு.. அளவுகடந்து போகும் பீட்டா.. புது ""உருட்டு!"""," Resistance to Jallikattu.. Eggs, boiling for milk.. Beta that goes to excess.. New ""Uruttu!"""
878,878,"கடுமையாக எதிர்த்த மத்திய அரசு! தமிழக அரசின் ""கோட்ஸே"" வாதம்! பேரறிவாளனுக்கு ஜாமீன் கிடைத்தது எப்படி? ","Central government strongly opposed! Tamilnadu government's ""Godse"" argument! How did Perariwalan get bail?"
879,879,அடைபட்ட கதவுகளுக்கு முன்னால்.. 32 ஆண்டுகால தாயின் பாசப் போராட்டம்! - இது அற்புதம்மாள் கதை , In front of closed doors.. 32 years of mother's love struggle! - This is an amazing story
880,880,முடிவிற்கு வரும் 52 வருட அரசியல்.. அரசியலில் ஓய்வு பெறும் காங். ஏகே அந்தோணி.. சோனியாவிற்கு நன்றி , 52 years of politics coming to an end.. Kang will retire from politics. AK Anthony.. Thanks to Sonia
881,881,நீட் தேர்வுக்கு வயது உச்சவரம்பு இனி இல்லை.. தேசிய மருத்துவ ஆணையம் தகவல்.. சட்டத்தில் சொல்லவில்லையாம்,There is no more age limit for NEET exam.. National Medical Commission information.. It is not said in law
882,882,"தருமபுரி மாவட்டத்தில் திமுகதான் கிங்.. பாஜக, பாமக, நாம் தமிழர் நிலை இதுதான்! டேட்டாவுடன் திமுக எம்பி"," DMK is the king in Dharmapuri district..BJP, BAMAK, this is the state of us Tamils! DMK MP with data"
883,883,இறுதி எச்சரிக்கை விடுத்த திமுக தலைவர் ஸ்டாலின்.. அடுத்தடுத்து ராஜினாமா செய்யும் “தலைவர்கள்” ," DMK President Stalin gave the ultimatum.. ""Leaders"" who will resign"
884,884," ""கப்பலேறிய மானம்"".. நம்பி வந்த வெளிநாட்டு பெண்ணை.. காட்டுக்குள் கதற வைத்த 2 பேர்.. என்ன நடந்தது..?","""Kappaleriya Manam"".. 2 people who made the foreign girl who had trusted them scream into the forest.. What happened..?"
885,885,ஷேன் வார்ன்: முற்றிலும் திரவ உணவு முறை பாதுகாப்பானதா? ஆபத்துகள் என்னென்ன?, Shane Warne: Is an all-liquid diet safe? What are the risks?
886,886,போர்ட்பிளேர் உள்ளாட்சித் தேர்தல்: காங்கிரஸ் -திமுக கூட்டணி மெஜாரிட்டி- தலைவராக அமரப்போவது யார்? , Portblair local body elections: Who will be the president of Congress-DMK alliance majority?
887,887,கச்சா எண்ணெய்‌ விலை உயர்வு இந்தியப்‌ பொருளாதாரத்தில்‌ தாக்கத்தை ஏற்படுத்தும்‌- நிதியமைச்சர் நிர்மலா சீதாராமன்,Crude oil price hike will impact Indian economy - Finance Minister Nirmala Sitharaman
888,888,அமேசான் மழைக்காடுகள்: ஒட்டுமொத்த மரங்களும் அழிந்துபோகும் ஆபத்து - ஆய்வு சொல்லும் அதிர்ச்சி முடிவுகள், Amazon Rainforests: Whole Trees at Risk of Extinction - Study Says Shocking Results
889,889,சென்னை புத்தக கண்காட்சியில் கவனத்தை ஈர்த்த அறிவிப்பாளர் ஜென்சி – யார் இவர்?," Jensi, the announcer who attracted attention at the Chennai Book Fair – who is she?"
890,890,''யப்பா..இது காஃபி பேஸ்டுப்பா'' - பாஜக பட்ஜெட்டை கலாய்த்த ஹர்திக் படேல் , Hardik Patel criticizes BJP's budget
891,891,என்னது இது! மாட்டுச்சாண சூட்கேசுடன் வந்த முதல்வர்.. சத்தீஸ்கர் பட்ஜெட் தாக்கலில் சுவாரசியம்! ,What is this! The Chief Minister came with a suitcase of cow dung.. Chhattisgarh budget presentation is interesting!
892,892,ராஜீவ் காந்தி கொலை வழக்கில் 30 ஆண்டுகளுக்குப் பிறகு பேரறிவாளானுக்கு ஜாமீன் வழங்கியது உச்ச நீதிமன்றம், Supreme Court granted bail to Perariwalan after 30 years in Rajiv Gandhi assassination case
